intent,actions,text-embedding-ada-002_actions,text-embedding-ada-002_precision,text-embedding-ada-002_recall,text-embedding-ada-002_f1,text2vec-base-chinese_actions,text2vec-base-chinese_precision,text2vec-base-chinese_recall,text2vec-base-chinese_f1,siamese-bert_actions,siamese_precision,siamese_recall,siamese_f1,cross_actions,cross_precision,cross_recall,cross_f1,text-similarity-davinci-001_actions,text-similarity-davinci-001_precision,text-similarity-davinci-001_recall,text-similarity-davinci-001_f1,text-similarity-ada-001_actions,text-similarity-ada-001_precision,text-similarity-ada-001_recall,text-similarity-ada-001_f1,text-similarity-curie-001_actions,text-similarity-curie-001_precision,text-similarity-curie-001_recall,text-similarity-curie-001_f1,text-similarity-babbage-001_actions,text-similarity-babbage-001_precision,text-similarity-babbage-001_recall,text-similarity-babbage-001_f1
将Rudolph Run加入我的Rockin播放列表,['phone.actions.AddToPlaylist'],"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.SearchWeb']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.AddToMemorandum']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5
"将 ""每首歌都是对爱的呼唤 ""添加到我的播放列表中，""城市的灵魂""",['phone.actions.AddToPlaylist'],"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.CreatePlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.GetPlaylist', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,1,0.5
将该音乐添加到罗莎娜的健身运动播放列表,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']","['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.666666667,1,0.8,"['phone.actions.AddToPlaylist', 'phone.actions.CreatePlaylist', 'phone.actions.GetCurrentSong']",0.666666667,1,0.8,"['phone.actions.AddToPlaylist', 'phone.actions.GetCurrentSong', 'phone.actions.CreatePlaylist']",0.666666667,1,0.8,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.FilterMusic']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.PlayMusic', 'phone.actions.GetPlaylist']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4,"['phone.actions.AddToPlaylist', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.5,0.4
巴布亚新几内亚午间的降雨量预测,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']","['phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.scenes.LowBatteryMode']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.IsWeatherCondition']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.SearchWeb']",0.333333333,0.5,0.4,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.666666667,1,0.8,"['phone.actions.WeatherConditions', 'phone.actions.WeatherForecast', 'phone.actions.WeatherCurrentConditions']",0.666666667,1,0.8
附近停车场,['phone.actions.SearchLocalFacilities'],"['phone.actions.SearchLocalFacilities', 'phone.actions.RequestRide', 'phone.scenes.Leave']",0.333333333,1,0.5,"['phone.actions.RequestRide', 'phone.scenes.CarPlay', 'phone.scenes.Leave']",0,0,0,"['phone.actions.SearchLocalFacilities', 'phone.actions.GetDistance', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.actions.SearchLocalFacilities', 'phone.actions.AirDropDocument', 'phone.actions.GetItemFromList']",0.333333333,1,0.5,"['phone.scenes.IsCharge', 'phone.scenes.GetBatteryCapacity', 'phone.actions.GetCurrentLocation']",0,0,0,"['phone.actions.SetBlueTooth', 'phone.scenes.Leave', 'phone.scenes.Arrive']",0,0,0,"['phone.actions.SearchLocalFacilities', 'phone.actions.GetCurrentLocation', 'phone.scenes.IsCharge']",0.333333333,1,0.5,"['phone.actions.SearchLocalFacilities', 'phone.actions.RequestRide', 'phone.actions.GetCurrentLocation']",0.333333333,1,0.5
去苏州大学,['phone.actions.GetDirections'],"['phone.actions.SearchWeb', 'phone.actions.RequestRide', 'phone.actions.SearchLocalFacilities']",0,0,0,"['phone.scenes.IsAirplaneModeState', 'phone.scenes.IsDNDState', 'phone.actions.SearchWeb']",0,0,0,"['phone.actions.GetDirections', 'phone.actions.AirDropDocument', 'phone.actions.GetPinboard']",0.333333333,1,0.5,"['phone.actions.GetPinboard', 'phone.actions.AirDropDocument']",0,0,0,"['phone.actions.SearchWeb', 'phone.scenes.GetBatteryCapacity', 'phone.actions.SetBlueTooth']",0,0,0,"['phone.actions.SetBlueTooth', 'phone.scenes.Leave', 'phone.actions.GetPinboard']",0,0,0,"['phone.actions.GetPinboard', 'phone.scenes.Arrive', 'phone.scenes.IsApplication']",0,0,0,"['phone.actions.FilterPhotos', 'phone.actions.FilterMusic', 'phone.actions.GetPinboard']",0,0,0
用最新的两张照片制作GIF发送给张三,"['phone.actions.GetLastPhoto', 'phone.actions.MakeGif', 'phone.actions.SendMessage']","['phone.actions.MakeGif', 'phone.actions.GetFramesFromImage', 'phone.actions.GetLastVideo']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetFramesFromImage', 'phone.actions.MakeGif', 'phone.actions.GetLastVideo']",0.333333333,0.333333333,0.333333333,"['phone.actions.ScanCode', 'phone.actions.MakeGif', 'phone.actions.MakeImageFromPdfPage']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetTextFromPdf', 'phone.actions.MakeImageFromPdfPage', 'phone.actions.ScanCode']",0,0,0,"['phone.actions.GetFramesFromImage', 'phone.actions.GetLastVideo', 'phone.actions.SearchWeb']",0,0,0,"['phone.actions.GetLastVideo', 'phone.actions.GetLastPhoto', 'phone.actions.GetFramesFromImage']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetFramesFromImage', 'phone.actions.MakeGif', 'phone.actions.GetLastVideo']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetLastVideo', 'phone.actions.GetLastPhoto', 'phone.actions.MakeGif']",0.666666667,0.666666667,0.666666667
如果明天早上下雨的话帮我叫辆车去公司,"['phone.actions.WeatherForecast', 'phone.scenes.IsWeatherCondition', 'phone.actions.RequestRide']","['phone.actions.RequestRide', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']",0.333333333,0.333333333,0.333333333,"['phone.actions.RequestRide', 'phone.scenes.Arrive', 'phone.actions.WeatherForecast']",0.666666667,0.666666667,0.666666667,"['phone.scenes.IsWeatherCondition', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']",0.666666667,0.666666667,0.666666667,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.scenes.IsWeatherCondition']",0.666666667,0.666666667,0.666666667,"['phone.scenes.CarPlay', 'phone.actions.RequestRide', 'phone.actions.WeatherForecast']",0.666666667,0.666666667,0.666666667,"['phone.actions.RequestRide', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherForecast']",0.666666667,0.666666667,0.666666667,"['phone.actions.RequestRide', 'phone.scenes.IsWeatherCondition', 'phone.scenes.CarPlay']",0.666666667,0.666666667,0.666666667,"['phone.actions.RequestRide', 'phone.scenes.Arrive', 'phone.scenes.IsWeatherCondition']",0.666666667,0.666666667,0.666666667
定5个闹钟，从8点开始每隔5分钟定一个闹钟,"['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.CreateAlarm']","['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.scenes.IsTime']",0.333333333,0.333333333,0.333333333,"['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.scenes.IsTime']",0.333333333,0.333333333,0.333333333,"['phone.actions.CreateAlarm', 'phone.actions.Delay', 'phone.scenes.IsClock']",0.666666667,0.666666667,0.666666667,"['phone.actions.Delay', 'phone.actions.CreateAlarm', 'phone.scenes.IsClock']",0.666666667,0.666666667,0.666666667,"['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.actions.GetFramesFromImage']",0.333333333,0.333333333,0.333333333,"['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.actions.Delay']",0.666666667,0.666666667,0.666666667,"['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.actions.Delay']",0.666666667,0.666666667,0.666666667,"['phone.actions.CreateAlarm', 'phone.scenes.IsClock', 'phone.actions.Delay']",0.666666667,0.666666667,0.666666667
获取当前设备名称,['phone.actions.GetDeviceDetails'],"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.SetAirplaneMode']",0.333333333,1,0.5,"['phone.actions.GetCurrentLocation', 'phone.actions.GetDeviceDetails', 'phone.actions.Contacts']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.Contacts', 'phone.scenes.Arrive']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.SearchWeb', 'phone.actions.Contacts']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.OpenApp']",0.333333333,1,0.5,"['phone.actions.GetCurrentLocation', 'phone.actions.GetDeviceDetails', 'phone.actions.OpenApp']",0.333333333,1,0.5,"['phone.actions.GetCurrentLocation', 'phone.actions.GetDeviceDetails', 'phone.actions.SetAirplaneMode']",0.333333333,1,0.5,"['phone.actions.GetCurrentLocation', 'phone.actions.GetDeviceDetails', 'phone.actions.GetPinboard']",0.333333333,1,0.5
计算从当前位置到苏州大学的距离,['phone.actions.GetDistance'],"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.GetCurrentLocation']",0.333333333,1,0.5,"['phone.scenes.IsAirplaneModeState', 'phone.scenes.Arrive', 'phone.actions.GetDistance']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.CalculateExpression']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.CalculateExpression', 'phone.actions.Conditional']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.GetCurrentLocation', 'phone.actions.SearchWeb']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.GetCurrentLocation', 'phone.actions.WeatherCurrentConditions']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.GetCurrentLocation', 'phone.scenes.Arrive']",0.333333333,1,0.5,"['phone.actions.GetDistance', 'phone.actions.GetCurrentLocation', 'phone.actions.SearchLocalFacilities']",0.333333333,1,0.5
返回当前设备的信息,['phone.actions.GetDeviceDetails'],"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.Contacts', 'phone.scenes.Arrive']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.SearchWeb', 'phone.actions.Contacts']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.scenes.IsCharge']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.SetAirplaneMode']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentLocation', 'phone.actions.GetCurrentSong']",0.333333333,1,0.5,"['phone.actions.GetDeviceDetails', 'phone.actions.GetCurrentSong', 'phone.actions.GetCurrentLocation']",0.333333333,1,0.5
告诉我到苏州大学的距离并打一辆车,"['phone.actions.GetDistance', 'phone.actions.RequestRide']","['phone.actions.RequestRide', 'phone.actions.GetDirections', 'phone.actions.GetDistance']",0.666666667,1,0.8,"['phone.actions.RequestRide', 'phone.scenes.Arrive', 'phone.scenes.IsAirplaneModeState']",0.333333333,0.5,0.4,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.Conditional']",0.666666667,1,0.8,"['phone.actions.GetDistance', 'phone.actions.RequestRide', 'phone.actions.Conditional']",0.666666667,1,0.8,"['phone.actions.SearchWeb', 'phone.actions.RequestRide', 'phone.scenes.CarPlay']",0.333333333,0.5,0.4,"['phone.actions.RequestRide', 'phone.actions.WeatherCurrentConditions', 'phone.actions.GetDirections']",0.333333333,0.5,0.4,"['phone.actions.RequestRide', 'phone.actions.GetDistance', 'phone.actions.GetCurrentLocation']",0.666666667,1,0.8,"['phone.actions.RequestRide', 'phone.actions.GetDistance', 'phone.scenes.Arrive']",0.666666667,1,0.8
当和车载蓝牙连接时播放我的开车音乐列表,"['phone.scenes.IsBlueTooth', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']","['phone.actions.SetBlueTooth', 'phone.scenes.CarPlay', 'phone.actions.PlayMusic']",0.333333333,0.333333333,0.333333333,"['phone.actions.PlayMusic', 'phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']",0.333333333,0.333333333,0.333333333,"['phone.actions.FilterMusic', 'phone.scenes.IsBlueTooth', 'phone.actions.PlayMusic']",0.666666667,0.666666667,0.666666667,"['phone.scenes.IsBlueTooth', 'phone.actions.PlayMusic', 'phone.actions.FilterMusic']",0.666666667,0.666666667,0.666666667,"['phone.scenes.CarPlay', 'phone.actions.AddToPlaylist', 'phone.actions.PlayMusic']",0.333333333,0.333333333,0.333333333,"['phone.actions.GetPlaylist', 'phone.actions.PlayMusic', 'phone.actions.AddToPlaylist']",0.666666667,0.666666667,0.666666667,"['phone.scenes.CarPlay', 'phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']",0,0,0,"['phone.actions.AddToPlaylist', 'phone.actions.PlayMusic', 'phone.actions.GetCurrentSong']",0.333333333,0.333333333,0.333333333
