intent,actions
如果温度超过30℃，则为我用腾讯地图叫一辆车去学校,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.RequestRide']"
获取昆明天气，如果最低温度低于10℃，则发消息邀请朋友吃火锅,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.SendMessage']"
如果当前打开了阅读软件，则关闭蓝牙，然后打开飞行模式,"['phone.scenes.IsApplication', 'phone.actions.SetBlueTooth', 'phone.actions.SetAirplaneMode']"
如果在13点，则将打开播客，搜索美国的泰勒,"['phone.scenes.IsTime', 'phone.actions.OpenApp', 'phone.actions.SearchPodcasts']"
"当到达地铁站时,打开微信乘车码","['phone.scenes.Arrive', 'phone.actions.OpenApp']"
当离自己家3km的时候，向父母邮箱发送消息“我快到家了”,"['phone.actions.GetDistance', 'phone.actions.Conditional', 'phone.actions.SendEmail']"
获取本地天气信息，如果降水概率超过50%则将今天就要下雨了添加到音乐播放,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.AddToPlaylist']"
当电量低于5%时打开飞行模式,"['phone.scenes.GetBatteryCapacity', 'phone.actions.SetAirplaneMode']"
当手机电量低于20%，则为我在方圆5km内找一家超市,"['phone.scenes.GetBatteryCapacity', 'phone.actions.SearchLocalFacilities']"
连接上WiFi，则打开应用商店更新软件,"['phone.scenes.IsNetwork', 'phone.actions.OpenApp']"
如果到学校的直线距离大于3km，则显示到学校的公交地铁导航路线,"['phone.actions.GetDistance', 'phone.actions.Conditional', 'phone.actions.GetDirections']"
如果在夜间则将飞行模式打开,"['phone.scenes.IsTime', 'phone.actions.SetAirplaneMode']"
如果到电影院距离超过5km，则为我用高德地图叫一辆车去电影院,"['phone.actions.GetDistance', 'phone.actions.Conditional', 'phone.actions.RequestRide']"
如果到降水概率超过50%，则为我用高德地图叫一辆车去公司,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.RequestRide']"
获取上海天气，如果降雨概率超过50%发消息提醒上海的父亲记得带伞,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.SendMessage']"
当到家时向朋友发消息报平安,"['phone.scenes.Arrive', 'phone.actions.SendMessage']"
如果当前app是音乐app，则打开手机蓝牙，以供与蓝牙耳机连接,"['phone.scenes.IsApplication', 'phone.actions.SetBlueTooth']"
如果收到邮件，则向发送方发送应答消息（已收到),"['phone.scenes.Email', 'phone.actions.SendEmail']"
如果体感温度低于0度，则为我在方圆10km内找一家火锅店,"['phone.actions.WeatherForecast', 'phone.actions.WeatherConditions', 'phone.actions.Conditional', 'phone.actions.SearchLocalFacilities']"
如果到餐厅的直线距离小于5km，则显示到餐厅的步行导航路线，否则显示驾车导航路线,"['phone.actions.GetDistance', 'phone.actions.Conditional', 'phone.actions.GetDirections', 'phone.actions.GetDirections']"
上了飞机自动打开飞行模式,"['phone.scenes.Arrive', 'phone.actions.SetAirplaneMode']"
下了飞机自动关闭飞行模式,"['phone.scenes.Leave', 'phone.actions.SetAirplaneMode']"
"每隔一个小时,返回一次当前位置的紫外线指数,循环24次","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.WeatherForecast', 'phone.actions.WeatherConditions']"
将相册中最新的10张照片制作成gif,"['phone.actions.GetLastPhoto', 'phone.actions.MakeGif']"
计算((1+100)*100)/2的结果,['phone.actions.CalculateExpression']
计算1*2*3的结果,['phone.actions.CalculateExpression']
"每隔半个小时,返回一次当前位置并发送给父母","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.actions.GetCurrentLocation', 'phone.actions.SendEmail']"
"每隔10分钟,检查电量是否小于10%，如果是则关闭蓝牙","['phone.actions.RepeatCount', 'phone.actions.Delay', 'phone.scenes.GetBatteryCapacity', 'phone.actions.SetBlueTooth']"
为我在本周设定每天早上7点的闹钟，下一周不重复,['phone.actions.CreateAlarm']
在本周每天早上返回今天的天气信息,"['phone.scenes.IsTime', 'phone.actions.WeatherCurrentConditions']"
这个月每天早上返回今天的体感温度用来决定衣着,"['phone.scenes.IsTime', 'phone.actions.WeatherCurrentConditions', 'phone.actions.WeatherConditions']"
每天早上起床后播放我的轻音乐播放列表,"['phone.scenes.IsTime', 'phone.actions.GetPlaylist', 'phone.actions.PlayMusic']"
获取最新的视频并制作gif,"['phone.actions.GetLastVideo', 'phone.actions.MakeGif']"
到了自习室自动打开QQ音乐,"['phone.scenes.Arrive', 'phone.actions.OpenApp']"
如果处于充电状态则打开充电状态监测应用,"['phone.scenes.IsCharge', 'phone.actions.OpenApp']"
如果收到导师的邮件立刻打开网易邮箱,"['phone.scenes.Email', 'phone.actions.OpenApp']"
上网搜索正在播放的歌曲的详细信息,"['phone.actions.GetCurrentSong', 'phone.actions.SearchWeb']"
上网搜索PDF中文本的意思,"['phone.actions.GetTextFromPdf', 'phone.actions.SearchWeb']"
将剪贴板文本放到备忘录,['phone.actions.AddToMemorandum']
上网搜索扫码的结果,"['phone.actions.ScanCode', 'phone.actions.SearchWeb']"
将当前播放的歌曲加入我的歌单,"['phone.actions.GetCurrentSong', 'phone.actions.AddToPlaylist']"
当启动CarPlay车机时，立刻导航到公司,"['phone.scenes.CarPlay', 'phone.actions.GetDirections']"
5点下班时为我用高德地图叫一辆回家车,"['phone.scenes.IsTime', 'phone.actions.RequestRide']"
中午时为我打开美团外卖,"['phone.scenes.IsTime', 'phone.actions.OpenApp']"
周日晚上为我设定周一早上7点的闹钟,"['phone.scenes.IsTime', 'phone.actions.CreateAlarm']"
到公司时打开钉钉扫码打卡,"['phone.scenes.Arrive', 'phone.actions.OpenApp']"
告诉我开车去公司多远，并记到备忘录中,"['phone.actions.GetDistance', 'phone.actions.GetDistance', 'phone.actions.AddToMemorandum']"
到操场时自动打开keep准备运动并开始播放音乐,"['phone.scenes.Arrive', 'phone.actions.OpenApp', 'phone.actions.PlayMusic']"
