intent,result
计算从当前位置到苏州大学的距离,"SeqCommand(phone.actions.GetDistance(startLocation=DefaultToCurrentLocation,endLocation=苏州大学,routeType=Direct,unit=Miles))"
返回当前设备的信息,SeqCommand(phone.actions.GetDeviceDetails(detail=DefaultToCurrentDevice))
告诉我到苏州大学的距离并打一辆车,"SeqCommand(phone.actions.GetDistance(startLocation='DefaultToCurrentLocation', endLocation=苏州大学, routeType='Direct', unit='Miles'), phone.actions.RequestRide(app='DefaultToApp', pickupLocation='DefaultToCurrentLocation', dropOffLocation=苏州大学, rideType='commonRide', partySize=1))"
当和车载蓝牙连接时播放我的开车音乐列表,"IfCommand(phone.scenes.IsBlueTooth(device='车载蓝牙', blueToothState='断开'))
NestCommand(phone.actions.PlayMusic(music=phone.actions.GetPlaylist(playlist='开车')))"
把现在播放的这首歌添加到备忘录,"NestCommand(phone.actions.AddToMemorandum(text=phone.actions.GetCurrentSong(), memora=DefaultFirst))"
给A连续发10份欢迎邮件,"LoopCommand(phone.actions.RepeatCount(repeatCount=10)
SeqCommand(phone.actions.SendEmail(from=DefaultToCurrentSender,to=A,message=欢迎))"
求从昆明到苏州和昆明到深圳的距离,"SeqCommand(phone.actions.GetDistance(startLocation=昆明,endLocation=苏州,routeType=Direct),phone.actions.GetDistance(startLocation=昆明,endLocation=深圳,routeType=Direct))"
如果明天早上下雨的话帮我给A发邮件请假,"IfCommand(phone.scenes.IsWeatherCondition(input=phone.actions.WeatherForecast(type=Daily,location=DefaultToCurrentLocation),condition=下雨))
SeqCommand(phone.actions.SendEmail(to=A,message=phone.actions.WeatherForecast(type=Daily,location=DefaultToCurrentLocation))"
导航去苏州，查询当地的天气，并循环播放音乐A,"SeqCommand(phone.actions.GetDirections(source=DefaultToCurrentLocation,destination=苏州,mode=Driving),phone.actions.WeatherForecast(location=DefaultToCurrentLocation,type=Daily),phone.actions.PlayMusic(music=A,mode=repeat))"
循环播放《星晴》10次,"LoopCommand(phone.actions.RepeatCount(repeatCount=10))
SeqCommand(phone.actions.PlayMusic(music=《星晴》))"
从呈贡区打车到西山区，6个人需要一辆高级车,"SeqCommand(phone.actions.RequestRide(app=DefaultToApp,pickupLocation=呈贡区,dropOffLocation=西山区,rideType=highRide,partySize=6))"
获取苏州每小时到天气预报,"SeqCommand(phone.actions.WeatherForecast(location=苏州,type=Hour))"
获取昆明呈贡区每日天气预报,"SeqCommand(phone.actions.WeatherForecast(location=昆明呈贡区,type=Daily))"
获取昆明呈贡区每日天气预报并邮件通知A,"NestCommand(phone.actions.SendEmail(from=DefaultToCurrentSender,to=A,message=phone.actions.WeatherForecast(location=昆明呈贡区,type=Daily),subject=昆明的每日天气通知))"
计算3+2等于几,SeqCommand(phone.actions.CalculateExpression(input=3+2))
计算3+2+1等于几,SeqCommand(phone.actions.CalculateExpression(input=3+2+1))
"每隔10分钟,播放一次《星晴》,循环50次","LoopCommand(phone.actions.RepeatCount(repeatCount=50))
SeqCommand(phone.actions.Delay(numberOfSeconds=600),phone.actions.PlayMusic(music=《星晴》))"
"每隔60分钟,给A发送一次当前位置的每小时天气,循环99次","LoopCommand(phone.actions.RepeatCount(repeatCount=99))
SeqCommand(phone.actions.Delay(numberOfSeconds=3600),phone.actions.SendEmail(from=DefaultToCurrentSender,to=A,subject=每小时天气通知,message=phone.actions.WeatherForecast(location=DefaultToCurrentLocation,type=Hour)))"
获取昆明呈贡区每日天气的最高温度,"NestCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location=昆明呈贡区,type=Daily),info=highestTmp))"
获取昆明呈贡区每日天气的最低温度,"NestCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location=昆明呈贡区,type=Daily),info=lowestTmp))"
获取昆明呈贡区每日天气的体感温度,"NestCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location=昆明呈贡区,type=Daily),info=bodyTmp))"
查找联系人，用邮件给联系人发送文件夹,"NestCommand(phone.actions.SendEmail(from=DefaultToCurrentSender,to=phone.actions.Contacts(input=name),message=phone.actions.Folder(folder='DefaultLastOpen'),theme='theme'))"
查找相册最近的5张gif图片，将其拆分为单独的帧,"NestCommand(phone.actions.GetFramesFromImage(image=phone.actions.GetLastPhoto(numberofPhotos=5,includeScreenshots=false)))"
把pdf创建成jpg图像并生成gif文件,"NestCommand(phone.actions.MakeGif(secondsPerPhoto=0.2,loopForever=true,autoSize=true,width=600,content=phone.actions.MakeImageFromPdfPage(pdf=LastOpenedFile,imageFormat=jpg)))"
打开A应用并把窗口运动到屏幕中间,"SeqCommand(phone.actions.OpenApp(appName=A),phone.actions.MoveWindow(position=Center,window=A,bringtoFront=True))"
"搜索中国的A播客,在音乐程序中创建一个新的播放列表，然后播放A的所有曲目","NestCommand(phone.actions.CreatePlaylist(playlistName=DefaultNewList,Music=phone.actions.SearchPodcasts(search=Search,searchBy=A,country=中国)))"
从相册获取最近的两张并将其合并,"NestCommand(phone.actions.OverlayImages(images=phone.actions.GetLastPhoto(numberofPhotos=2,includeScreenshots=true),opacity=100))"
"获取A播放列表中的每首歌曲,通过邮件把这些歌曲发给B","NestCommand(phone.actions.SendEmail(from=DefaultToCurrentSender,to=B,subject=song,message=phone.actions.GetPlaylist(playlist=A)))"
如果到家距离小于5km，则为我用百度地图叫一辆车去回家,"IfCommand(phone.actions.Conditional(input=phone.actions.GetDistance(startLocation=当前位置,endLocation=家,routeType=Walking),condition=<,numberValue=5000))
NestCommand(phone.actions.RequestRide(input=百度地图,pickupLocation=当前位置,dropOffLocation=家,partySize=1))"
获取照片库最近的1张gif图片，并将照片拆分为单独的帧,"NestCommand(phone.actions.GetFramesFromImage(image=phone.actions.GetLastPhoto(numberofPhotos=1,includeScreenshots=false)))"
当到学校时向家人发消息报平安,"IfCommand(phone.scenes.Arrive(location='学校'))
SeqCommand(phone.actions.SendMessage(showWhenRun=true,recipients='家人',message='我已经到学校了'))"
如果现在外面在下大雨，则随机播放歌曲，否则导航到附近火锅店,"IfCommand(phone.scenes.IsWeatherCondition(input='天气状况',condition='下雨'))
SeqCommand(phone.actions.PlayMusic(music='DefaultToFirstAlbum',mode='shuffle'))
ElseCommand
SeqCommand(phone.actions.GetDirections(source='DefaultToCurrentLocation',destination='火锅店',mode='Driving'))"
如果温度超过30℃，则为我用腾讯地图叫一辆车去学校,"IfCommand(NestCommand(phone.actions.Conditional(input=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='DefaultToCurrentLocation',type='Daily'),info='humidity'),condition='>',numberValue='30')))
SeqCommand(phone.actions.RequestRide(app='腾讯地图',pickupLocation='DefaultToCurrentLocation',dropOffLocation='学校',rideType='commonRide',partySize=1))"
获取昆明天气，如果最低温度低于10℃，则发消息邀请朋友吃火锅,"IfCommand(phone.actions.Conditional(input=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='昆明',type='Daily'),info='humidity'),condition='<',numberValue='10'))
SeqCommand(phone.actions.SendMessage(showWhenRun=true,recipients='朋友',message='一起吃火锅'))"
如果当前打开了阅读软件，则关闭蓝牙，然后打开飞行模式,"IfCommand(phone.scenes.IsApplication(application='阅读软件',applicationState='open'))
SeqCommand(phone.actions.SetBlueTooth(blueToothmodeState='open'),phone.actions.SetAirplaneMode(airplaneModeState='open'))"
如果在13点，则将打开播客，搜索美国的泰勒,"IfCommand(phone.scenes.IsTime(specificTime='13'))
SeqCommand(phone.actions.OpenApp(appName='播客'),phone.actions.SearchPodcasts(search='泰勒',searchBy='全部',country='美国'))"
"当到达地铁站时,打开微信乘车码","IfCommand(phone.scenes.Arrive(location='地铁站'))
SeqCommand(phone.actions.OpenApp(appName='微信'))"
当离自己家3km的时候，向父母邮箱发送消息“我快到家了”,"IfCommand(phone.actions.Conditional(input=phone.actions.GetDistance(startLocation='DefaultToCurrentLocation',endLocation='家',routeType='Direct',unit='km'),condition='=',numberValue=3))
SeqCommand(phone.actions.SendEmail(from='DefaultToCurrentSender', to='父母',message='我快到家了'))"
获取本地天气信息，如果降水概率超过50%则将今天就要下雨了添加到音乐播放,"IfCommand(phone.actions.Conditional(condition=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='DefaultToCurrentLocation',type='Daily'),info='precipitationProb'), condition='>', numberValue=50%))
SeqCommand(phone.actions.AddToPlaylist(playlist='DefaultPlaylist', music='今天就要下雨了'))"
当电量低于5%时打开飞行模式,"IfCommand(phone.scenes.GetBatteryCapacity(batteryLevel='小于',batteryValue=5%))
SeqCommand(phone.actions.SetAirplaneMode(airplaneModeState='open'))"
当手机电量低于20%，则为我在方圆5km内找一家超市,"IfCommand(phone.scenes.GetBatteryCapacity(batteryLevel='小于',batteryValue=20%))
SeqCommand(phone.actions.SearchLocalFacilities(source='DefaultToCurrentLocation',query='超市',radius='5000'))"
连接上WiFi，则打开应用商店更新软件,"IfCommand(phone.scenes.IsNetwork(network='DefaultAny'))
SeqCommand(phone.actions.OpenApp(appName='应用商店'))"
如果到学校的直线距离大于3km，则显示到学校的公交地铁导航路线,"IfCommand(phone.actions.Conditional(input=phone.actions.GetDistance(startLocation='DefaultToCurrentLocation',endLocation='学校',routeType='Direct',unit='km'),condition='>',numberValue=3))
SeqCommand(phone.actions.GetDirections(source='DefaultToCurrentLocation',destination='学校',mode='PublicTrans'))"
如果在夜间则将飞行模式打开,"IfCommand(phone.scenes.IsTime(state='夜间'))
SeqCommand(phone.actions.SetAirplaneMode(airplaneModeState='open'))"
如果到电影院距离超过5km，则为我用高德地图叫一辆车去电影院,"IfCommand(phone.actions.Conditional(input=phone.actions.GetDistance(startLocation='DefaultToCurrentLocation',endLocation='电影院',routeType='Direct',unit='km'),condition='>',numberValue=5))
SeqCommand(phone.actions.RequestRide(app='高德地图',pickupLocation='DefaultToCurrentLocation',dropOffLocation='电影院',rideType='commonRide',partySize=1))"
如果到降水概率超过50%，则为我用高德地图叫一辆车去公司,"IfCommand(phone.actions.Conditional(condition=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='DefaultToCurrentLocation',type='Daily'),info='precipitationProb'), condition='>', numberValue=50%))
SeqCommand(phone.actions.RequestRide(app='高德地图',pickupLocation='DefaultToCurrentLocation',dropOffLocation='公司',rideType='commonRide',partySize=1))"
获取上海天气，如果降雨概率超过50%发消息提醒上海的父亲记得带伞,"IfCommand(phone.actions.Conditional(condition=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='上海',type='Daily'),info='precipitationProb'), condition='>', numberValue=50%))
SeqCommand(phone.actions.SendMessage(showWhenRun=true,recipients='父亲',message='记得带伞'))"
当到家时向朋友发消息报平安,"IfCommand(phone.scenes.Arrive(location='家'))
SeqCommand(phone.actions.SendMessage(showWhenRun=true,recipients='朋友',message='平安到家'))"
如果当前app是音乐app，则打开手机蓝牙，以供与蓝牙耳机连接,"IfCommand(phone.scenes.IsApplication(application='音乐',applicationState='open'))
SeqCommand(phone.actions.SetBlueTooth(blueToothmodeState='open'))"
如果收到邮件，则向发送方发送应答消息（已收到),"IfCommand(phone.scenes.Email(From='DefaultAny'))
SeqCommand(phone.actions.SendEmail(from='DefaultToCurrentSender', to='DefaultLastSender',message='已收到'))"
如果体感温度低于0度，则为我在方圆10km内找一家火锅店,"IfCommand(phone.actions.Conditional(condition=phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='DefaultToCurrentLocation',type='Daily'),info='bodyTmp'), condition='<', numberValue=0))
SeqCommand(phone.actions.SearchLocalFacilities(source='DefaultToCurrentLocation',query='火锅店',radius='10000'))"
如果到餐厅的直线距离小于5km，则显示到餐厅的步行导航路线，否则显示驾车导航路线,"IfCommand(phone.actions.Conditional(input=phone.actions.GetDistance(startLocation='DefaultToCurrentLocation',endLocation='餐厅',routeType='Direct',unit='km'),condition='<',numberValue=5))
SeqCommand(phone.actions.GetDirections(source='DefaultToCurrentLocation',destination='餐厅',mode='Walking'))
ElseCommand
SeqCommand(phone.actions.GetDirections(source='DefaultToCurrentLocation',destination='餐厅',mode='Driving'))"
上了飞机自动打开飞行模式,"IfCommand(phone.scenes.Arrive(location='飞机'))
SeqCommand(phone.actions.SetAirplaneMode(airplaneModeState='open'))"
下了飞机自动关闭飞行模式,"IfCommand(phone.scenes.Leave(location='飞机'))
SeqCommand(phone.actions.SetAirplaneMode(airplaneModeState='close'))"
"每隔一个小时,返回一次当前位置的紫外线指数,循环24次","LoopCommand(phone.actions.RepeatCount(count=24))
SeqCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherForecast(location='DefaultToCurrentLocation',type='Daily'),info='UVI'), phone.actions.Delay(numberOfSeconds=3600))"
将相册中最新的10张照片制作成gif,"NestCommand(phone.actions.MakeGif(content=phone.actions.GetLastPhoto(number=10,includeScreenshots=false)))"
计算((1+100)*100)/2的结果,"SeqCommand(phone.actions.CalculateExpression(input=""((1+100)*100)/2""))"
计算1*2*3的结果,"SeqCommand(phone.actions.CalculateExpression(input=""1*2*3""))"
"每隔半个小时,返回一次当前位置并发送给父母","LoopCommand(phone.actions.RepeatCount(repeatCount=24))
SeqCommand(phone.actions.SendEmail(from=""当前账号"",to=""父母"",message=phone.actions.GetCurrentLocation(precision=""最佳"")),phone.actions.Delay(numberOfSeconds=1800))"
"每隔10分钟,检查电量是否小于10%，如果是则关闭蓝牙","LoopCommand(phone.actions.RepeatCount(repeatCount=24))
IfCommand(phone.scenes.GetBatteryCapacity(batteryLevel=""小于"",batteryValue=""10%""))
SeqCommand(phone.actions.SetBlueTooth(blueToothmodeState=""close""),phone.actions.Delay(numberOfSeconds=600))"
为我在本周设定每天早上7点的闹钟，下一周不重复,"SeqCommand(phone.actions.CreateAlarm(time='早上7点', repeat='Week'))"
在本周每天早上返回今天的天气信息,"IfCommand(phone.scenes.IsTime(state='早上', repeat='Week'))
SeqCommand(phone.actions.WeatherCurrentConditions(location='DefaultToCurrentLocation'))"
这个月每天早上返回今天的体感温度用来决定衣着,"IfCommand(phone.scenes.IsTime(state='早上', repeat='Month'))
NestCommand(phone.actions.WeatherConditions(weatherConditions=phone.actions.WeatherCurrentConditions(location='DefaultToCurrentLocation'), info='bodyTmp'))"
每天早上起床后播放我的轻音乐播放列表,"IfCommand(phone.scenes.IsTime(state='早上'))
NestCommand(phone.actions.PlayMusic(music=phone.actions.GetPlaylist(playlist='轻音乐')))"
获取最新的视频并制作gif,"NestCommand(phone.actions.MakeGif(secondsPerPhoto=0.2,loopForever=True,autoSize=True,content=phone.actions.GetLastVideo(numberOfVideos=1)))"
到了自习室自动打开QQ音乐,"IfCommand(phone.scenes.Arrive(location=""自习室"")
SeqCommand(phone.actions.OpenApp(appName=""QQ音乐""))"
如果处于充电状态则打开充电状态监测应用,"IfCommand(phone.scenes.IsCharge(ChargeState=""Yes""))
SeqCommand(phone.actions.OpenApp(appName=""充电状态监测应用""))"
如果收到导师的邮件立刻打开网易邮箱,"IfCommand(phone.scenes.Email(from=""导师"",to=""DefaultToSender""))
SeqCommand(phone.actions.OpenApp(appName=""网易邮箱""))"
上网搜索正在播放的歌曲的详细信息,NestCommand(phone.actions.SearchWeb(text=phone.actions.GetCurrentSong()))
上网搜索PDF中文本的意思,"NestCommand(phone.actions.SearchWeb(text=phone.actions.GetTextFromPdf(pdf=""LastOpenedFile"")))"
将剪贴板文本放到备忘录,"SeqCommand(phone.actions.AddToMemorandum(text='clipboardText', memora='DefaultFirst'))"
上网搜索扫码的结果,NestCommand(phone.actions.SearchWeb(text=phone.actions.ScanCode()))
将当前播放的歌曲加入我的歌单,"NestCommand(phone.actions.AddToPlaylist(playlist=""我的歌单"",music=phone.actions.GetCurrentSong()))"
当启动CarPlay车机时，立刻导航到公司,"IfCommand(phone.scenes.CarPlay(carPlayState='open'))
SeqCommand(phone.actions.GetDirections(source=""DefaultToCurrentLocation"",destination=""公司"",mode=""Driving""))"
5点下班时为我用高德地图叫一辆回家车,"IfCommand(phone.scenes.IsTime(specificTime=""5点""))
SeqCommand(phone.actions.RequestRide(app=""高德地图"",pickupLocation=""DefaultToCurrentLocation"",dropOffLocation=""家"",partSize=1))"
中午时为我打开美团外卖,"IfCommand(phone.scenes.IsTime(state=""中午""))
SeqCommand(phone.actions.OpenApp(appName=""美团外卖""))"
周日晚上为我设定周一早上7点的闹钟,"IfCommand(phone.scenes.IsTime(state=""周日晚上""))
SeqCommand(phone.actions.CreateAlarm(time=""周一早上7点"",repeat=""Never""))"
到公司时打开钉钉扫码打卡,"IfCommand(phone.scenes.Arrive(location=""公司""))
SeqCommand(phone.actions.OpenApp(appName=""钉钉""))"
告诉我开车去公司多远，并记到备忘录中,"NestCommand(phone.actions.GetDistance(startLocation=""DefaultToCurrentLocation"",endLocation=""公司"",routeType=""Driving""), phone.actions.AddToMemorandum(text=phone.actions.GetDistance(startLocation=""DefaultToCurrentLocation"",endLocation=""公司"",routeType=""Driving""), memora='DefaultFirst'))"
到操场时自动打开keep准备运动并开始播放音乐,"IfCommand(phone.scenes.Arrive(location=""操场""))
SeqCommand(phone.actions.OpenApp(appName=""keep""),phone.actions.PlayMusic(music=""DefaultToFirstAlbum"",mode=""recommend""))"
